measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,2,Female,22,All ages,485,Non-Hodgkin lymphoma,3,Rate,2011,2.5214096906663697,2.6440800696839375,2.3232520604154345
1,Deaths,1,Global,2,Female,22,All ages,486,Multiple myeloma,3,Rate,2011,1.2222780843476706,1.3311075010783289,1.0572972429299108
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1991,3.970826304766893,4.450578820306718,2.8520198745141436
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,3,Rate,1991,11.385353922361984,12.266745029977335,10.567746121823498
1,Deaths,1,Global,2,Female,22,All ages,417,Liver cancer,3,Rate,1991,4.3758713843146175,5.0271692559994845,3.8600669907984977
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,3,Rate,2012,3.3806181415559973,3.66501704169777,2.7067157972333997
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,3,Rate,2012,9.064528275614236,9.603519020424894,8.31560148319282
1,Deaths,1,Global,2,Female,22,All ages,417,Liver cancer,3,Rate,2012,3.5432922953261703,3.7497003294885176,3.2860074050751447
1,Deaths,1,Global,2,Female,22,All ages,487,Leukemia,3,Rate,1999,4.318042449167112,4.79422222072061,3.7676809158070013
1,Deaths,1,Global,2,Female,22,All ages,490,Other neoplasms,3,Rate,1999,0.44103080983861515,0.4964292888506959,0.38916333124162844
1,Deaths,1,Global,2,Female,22,All ages,1022,Other malignant neoplasms,3,Rate,1999,4.228252441546515,4.494581705504919,3.95116196733034
1,Deaths,1,Global,2,Female,22,All ages,423,Larynx cancer,3,Rate,2000,0.4198449064932837,0.44352561306152494,0.3927004259219737
1,Deaths,1,Global,2,Female,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2000,12.382651696079472,13.002220358576176,11.689207058618265
1,Deaths,1,Global,2,Female,22,All ages,429,Breast cancer,3,Rate,2000,15.145439143975123,15.69006556804183,14.515185028776662
1,Deaths,1,Global,2,Female,22,All ages,432,Cervical cancer,3,Rate,2000,6.830855775365057,8.144309341834532,6.210336663844246
1,Deaths,1,Global,2,Female,22,All ages,435,Uterine cancer,3,Rate,2000,2.1853768759044727,2.317683884876065,1.9538038818320234
1,Deaths,1,Global,2,Female,22,All ages,441,Colon and rectum cancer,3,Rate,2000,10.599533795554942,11.084843535141788,9.885036812940696
1,Deaths,1,Global,2,Female,22,All ages,444,Lip and oral cavity cancer,3,Rate,2000,1.2923866668254331,1.3961827509918365,1.1934777313617457
1,Deaths,1,Global,2,Female,22,All ages,447,Nasopharynx cancer,3,Rate,2000,0.62241987175451,0.6760522572779215,0.562963050082478
1,Deaths,1,Global,2,Female,22,All ages,450,Other pharynx cancer,3,Rate,2000,0.5155992761060094,0.5673782942677223,0.4614791083954593
1,Deaths,1,Global,2,Female,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,2000,2.269297131798851,2.5843246030679756,1.912618890350548
1,Deaths,1,Global,2,Female,22,All ages,456,Pancreatic cancer,3,Rate,2000,4.218933530477398,4.378144197844893,3.950808515445316
1,Deaths,1,Global,2,Female,22,All ages,459,Malignant skin melanoma,3,Rate,2000,0.6303203379958531,0.807906729423302,0.4903461176662246
1,Deaths,1,Global,2,Female,22,All ages,462,Non-melanoma skin cancer,3,Rate,2000,0.40433939503221616,0.4291497668504157,0.3637189322619156
1,Deaths,1,Global,2,Female,22,All ages,465,Ovarian cancer,3,Rate,2000,4.015412640825869,4.378597047108966,3.7679209059233476
1,Deaths,1,Global,2,Female,22,All ages,471,Kidney cancer,3,Rate,2000,1.1920144908566108,1.2360267601001391,1.1261364351436167
1,Deaths,1,Global,2,Female,22,All ages,474,Bladder cancer,3,Rate,2000,1.329159220628843,1.4055547062506843,1.2235600383388516
1,Deaths,1,Global,2,Female,22,All ages,477,Brain and central nervous system cancer,3,Rate,2000,2.4723119470498585,2.889232853909152,1.9201651266702013
1,Deaths,1,Global,2,Female,22,All ages,480,Thyroid cancer,3,Rate,2000,0.6072677325720818,0.658286959998296,0.5517657012009374
1,Deaths,1,Global,2,Female,22,All ages,483,Mesothelioma,3,Rate,2000,0.18539625734018617,0.22905223304433817,0.14094830919299486
1,Deaths,1,Global,2,Female,22,All ages,484,Hodgkin lymphoma,3,Rate,2000,0.32413854083169336,0.3739712923322902,0.24560047233351978
1,Deaths,1,Global,2,Female,22,All ages,485,Non-Hodgkin lymphoma,3,Rate,2000,2.401563831200235,2.5121722631180274,2.260410172998045
1,Deaths,1,Global,2,Female,22,All ages,486,Multiple myeloma,3,Rate,2000,1.1305119590533814,1.2302531750927246,0.982700413607825
1,Deaths,1,Global,2,Female,22,All ages,487,Leukemia,3,Rate,1993,4.446722231985459,5.055970504900149,3.8493548177596093
1,Deaths,1,Global,2,Female,22,All ages,490,Other neoplasms,3,Rate,1993,0.3965816051792402,0.47987785342175393,0.3463575529768967
1,Deaths,1,Global,2,Female,22,All ages,1022,Other malignant neoplasms,3,Rate,1993,4.174100680715634,4.470085287971529,3.916572269773081
1,Deaths,1,Global,2,Female,22,All ages,487,Leukemia,3,Rate,2014,3.745838838551777,3.9780982793570465,3.397896444339016
1,Deaths,1,Global,2,Female,22,All ages,490,Other neoplasms,3,Rate,2014,0.5942953852439978,0.6351607206219342,0.5010083901884498
1,Deaths,1,Global,2,Female,22,All ages,1022,Other malignant neoplasms,3,Rate,2014,4.620418140625743,4.908559495351498,4.232627182236001
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1994,4.01964136667667,4.4635713726165465,2.8252544353011677
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,3,Rate,1994,11.124613226359049,11.813648750962681,10.465757304978078
1,Deaths,1,Global,2,Female,22,All ages,417,Liver cancer,3,Rate,1994,4.614019124085134,5.108673008478789,4.179597438509514
1,Deaths,1,Global,2,Female,22,All ages,423,Larynx cancer,3,Rate,2015,0.4437665246223564,0.4723680801546147,0.41367034597018376
1,Deaths,1,Global,2,Female,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2015,15.476919173592274,16.47618002159155,14.152057726727751
1,Deaths,1,Global,2,Female,22,All ages,429,Breast cancer,3,Rate,2015,16.992373663346516,17.821263379929704,15.97297950535273
1,Deaths,1,Global,2,Female,22,All ages,432,Cervical cancer,3,Rate,2015,7.1541445674126996,7.899798863500799,6.143299296640168
1,Deaths,1,Global,2,Female,22,All ages,435,Uterine cancer,3,Rate,2015,2.3093447708991244,2.5544727230399746,2.1104353195587433
